Date,t,Cases,DailyDeaths
2020-01-21,1,1,0
2020-01-22,2,0,0
2020-01-23,3,0,0
2020-01-24,4,1,0
2020-01-25,5,1,0
2020-01-26,6,2,0
2020-01-27,7,0,0
2020-01-28,8,0,0
2020-01-29,9,0,0
2020-01-30,10,1,0
2020-01-31,11,1,0
2020-02-01,12,1,0
2020-02-02,13,3,0
2020-02-03,14,0,0
2020-02-04,15,0,0
2020-02-05,16,1,0
2020-02-06,17,0,0
2020-02-07,18,0,0
2020-02-08,19,0,0
2020-02-09,20,0,0
2020-02-10,21,1,0
2020-02-11,22,0,0
2020-02-12,23,1,0
2020-02-13,24,1,0
2020-02-14,25,0,0
2020-02-15,26,0,0
2020-02-16,27,0,0
2020-02-17,28,10,0
2020-02-18,29,0,0
2020-02-19,30,0,0
2020-02-20,31,2,0
2020-02-21,32,3,0
2020-02-22,33,0,0
2020-02-23,34,0,0
2020-02-24,35,13,0
2020-02-25,36,2,0
2020-02-26,37,15,0
2020-02-27,38,0,0
2020-02-28,39,5,0
2020-02-29,40,5,1
2020-03-01,41,18,2
2020-03-02,42,16,3
2020-03-03,43,21,4
2020-03-04,44,36,2
2020-03-05,45,67,0
2020-03-06,46,83,3
2020-03-07,47,117,4
2020-03-08,48,119,3
2020-03-09,49,201,4
2020-03-10,50,270,5
2020-03-11,51,245,6
2020-03-12,52,405,6
2020-03-13,53,556,7
2020-03-14,54,674,10
2020-03-15,55,702,8
2020-03-16,56,907,23
2020-03-17,57,1399,26
2020-03-18,58,2444,45
2020-03-19,59,4043,50
2020-03-20,60,5619,65
2020-03-21,61,6516,83
2020-03-22,62,8545,98
2020-03-23,63,10432,121
2020-03-24,64,10433,206
2020-03-25,65,14634,269
2020-03-26,66,16998,299
2020-03-27,67,17330,417
2020-03-28,68,21066,530
2020-03-29,69,18520,418
2020-03-30,70,21469,650
2020-03-31,71,24506,936
2020-04-01,72,26930,1021
2020-04-02,73,29717,1216
2020-04-03,74,32318,1391
2020-04-04,75,35099,1556
2020-04-05,76,25616,1368
2020-04-06,77,30916,1526
2020-04-07,78,30337,2234
2020-04-08,79,31820,2085
2020-04-09,80,34699,2120
2020-04-10,81,33473,2263
2020-04-11,82,31720,2084
2020-04-12,83,27143,1681
2020-04-13,84,25769,1764
2020-04-14,85,26691,2705
2020-04-15,86,30033,2752
2020-04-16,87,31613,2349
2020-04-17,88,31509,2289
2020-04-18,89,28398,1951
2020-04-19,90,25334,1520
2020-04-20,91,27395,1837
2020-04-21,92,25514,2672
2020-04-22,93,28831,2371
2020-04-23,94,33776,2169
2020-04-24,95,36741,2132
2020-04-25,96,34408,1967
2020-04-26,97,26735,1253
2020-04-27,98,23197,1442
2020-04-28,99,24651,2394
2020-04-29,100,26555,2514
2020-04-30,101,30357,2210
2020-05-01,102,33970,1762
2020-05-02,103,29474,1583
2020-05-03,104,26140,1331
2020-05-04,105,21962,1089
2020-05-05,106,23709,2234
2020-05-06,107,24506,2708
2020-05-07,108,28478,1958
2020-05-08,109,27648,1575
2020-05-09,110,24868,1454
2020-05-10,111,20317,932
2020-05-11,112,17621,982
2020-05-12,113,22300,1652
2020-05-13,114,21145,1768
2020-05-14,115,26962,1738
2020-05-15,116,26237,1593
2020-05-16,117,23659,1225
2020-05-17,118,19014,844
2020-05-18,119,21827,846
2020-05-19,120,20977,1520
2020-05-20,121,23070,1477
2020-05-21,122,25733,1311
2020-05-22,123,23799,1288
2020-05-23,124,22268,1050
2020-05-24,125,20031,620
2020-05-25,126,19100,510
2020-05-26,127,18896,747
2020-05-27,128,18744,1485
2020-05-28,129,22512,1200
2020-05-29,130,24548,1190
2020-05-30,131,23397,963
2020-05-31,132,20634,604
2020-06-01,133,21897,734
2020-06-02,134,20791,1082
2020-06-03,135,19987,989
2020-06-04,136,21616,1008
2020-06-05,137,28709,1112
2020-06-06,138,22516,728
2020-06-07,139,18616,390
2020-06-08,140,18207,722
2020-06-09,141,18805,1030
2020-06-10,142,22852,929
2020-06-11,143,23202,877
2020-06-12,144,25493,779
2020-06-13,145,25334,692
2020-06-14,146,19130,317
2020-06-15,147,20117,448
2020-06-16,148,24885,769
2020-06-17,149,25655,761
2020-06-18,150,28059,727
2020-06-19,151,30836,698
2020-06-20,152,32025,546
2020-06-21,153,26379,257
2020-06-22,154,30466,360
2020-06-23,155,35060,833
2020-06-24,156,36989,767
2020-06-25,157,41173,2466
2020-06-26,158,45528,633
2020-06-27,159,42299,511
2020-06-28,160,39508,271
2020-06-29,161,39496,347
2020-06-30,162,48389,1300
2020-07-01,163,49975,642
